Description,SalesDollars,SalesPrice,ProfitMargin
Absolut Mandrin,314932.26,13.06357731366162,0.2252344799501658
Absolut Mango,835.6200000000001,21.99,0.3791385847216978
Absolut Mini Bar 5/50mls,123563.28,7.187391522447956,0.12392075714695984
Absolut Orient Apple Vodka,119.94,19.99,0.3446557666478735
Absolut Pears,109752.68999999999,16.905837299870186,0.29148045599854805
Absolut Peppar,77049.45,17.709488188976376,0.305336529700506
Absolut Peppar Vodka,239.88,19.99,0.3446557666478735
Absolut Raspberri,128021.57999999999,17.684580353782458,0.3049070835257036
Absolut Ruby Red,299239.07,21.995526036131775,0.37923386137099846
Absolut Spark Vodka,24800.019999999997,17.8158064516129,0.30716960635471613
Absolut Vanilia,140681.88,9.65997732915902,0.16655162041932867
Absolut Wild Tea,901.88,14.587222222222222,0.2515042650456677
Acacia Winery Chard Carneros,287.88,23.99,0.41362140279552206
Acacia Winery Pnt Nr Carnero,447.84,27.99,0.4825870389431706
Acacia Winery Pnt Nr Lake,287.90999999999997,31.99,0.5515526750908192
Achaia Cellars Retsina,199.29,9.49,0.16362097176029614
Achaval Ferrer Cab Svgn,229.89999999999998,22.99,0.39637999375860994
Achaval Ferrer Malbec,41945.509999999995,19.58852820932134,0.33773382728800116
Achaval Ferrer Quimera,29358.23,22.99,0.39637999375860994
Acorn Alegria Vyds Cab Franc,2944.94,27.847142857142856,0.480123980509326
Acorn Cve Alegria Russ Syrah,2780.0099999999998,27.72972602739726,0.47809954891986467
Acorn Dolcetto Alegria RRV,3023.0099999999998,30.288507462686567,0.5222165462817447
Acorn Medley Alegria RRV,1934.25,25.79,0.44465593906196393
Acorn Sangiovese Alegria RRV,8434.98,27.77285714285714,0.4788431901237268
Acquese Moscato D'Asti Dolc,14795.66,11.989999999999998,0.20672449435257648
Acrobat King Est Rose Pnt Nr,31785.28,13.99,0.24120731242640073
Acrobat Pnt Gris Oregon,110585.18,12.167276507276508,0.2097809911271659
Acrobat Pnt Nr Ore,32117.719999999998,18.762032902467684,0.3234838836354491
Actum Sinister,8.99,8.99,0.1550002672418401
Acumen Moutainside Red Napa,114829.05,24.99,0.4308628118324342
Adaptation by Odette Cab Svg,49.99,49.99,0.8618980377552377
Adaption by Odette Chard,3294.97,31.99,0.5515526750908192
Adelsheim Auxerrois Ribbon S,901.5899999999999,21.99,0.3791385847216978
Adelsheim Bryan Creek Pnt Nr,2449.65,69.99,1.2067262184934802
Adelsheim Caitlins Rsv Chard,1639.5900000000001,39.99,0.6894839473861163
Adelsheim Chard Willmete Vly,1813.24,24.008867924528303,0.41394671239999214
Adelsheim Elizbth RSV Pnt Nr,2561.45,46.828709677419354,0.8073929382191928
Adelsheim Pnt Gris Ore,12788.15,16.1879797979798,0.27910358117823997
Adelsheim Pnt Nr Ore,33531.43,24.710547945205477,0.42604466464951624
Adissat Cotes du Rhone,1244.17,14.99,0.2584487214633129
Adissat Gabrielle Ch du Pape,639.84,39.99,0.6894839473861163
Adissat Lirac,6176.91,19.99,0.3446557666478735
Admiral Nelson Egg Nog,450.31,6.453414634146342,0.11126596139211176
Admiral Nelson Spiced Rum,122358.39,14.41755035737492,0.2485788830217797
After Shock Hot & Cool Cinmn,87915.35,4.905297092288243,0.08457423361571732
Agave Loco Pepper Cured Teq,15159.74,23.109565217391303,0.3984414665782407
Agave Underground Tequila,24975.95,35.49940170940171,0.6120597054374527
Agavero Orange Liqueur Agave,1209.4499999999998,21.990000000000002,0.3791385847216978
Agavero Tequila Liqueur,805.6899999999999,25.99,0.4481042208693463
Agiorgitiko Argilos Nemea,179.88,14.99,0.2584487214633129
Agua de Piedra Malbec Selccn,134120.52,11.160066765578636,0.19241527598459024
Agua de Piedra Malbec Selecn,707.16,8.418571428571429,0.14514803350646174
Aguardiente Cristal Liqueur,1415.91,12.99,0.22396590338948863
Aichenberg Gruner Veltliner,50.94,8.39,0.1446554218196928
Aizpurua B,536.6999999999999,17.836153846153845,0.307520424106832
Alabaster 07 Tinta de Toro,674.95,134.99,2.327417805892769
Alain Lorieux Chinon Express,485.72999999999996,17.99,0.31017294857404926
Alamos Red Mendoza,25449.13,9.48133069828722,0.1634715007834017
Alamos Ridge Cab Svgn Mendza,50651.64,9.148437618505879,0.15773195502933418
Alamos Ridge Chard Mendoza,30135.94,9.252,0.15951751640951106
Alamos Ridge Malbec Mendoza,382832.11,8.982776945448137,0.1548757316038155
Alamos Slcn Malbec Mendoza,62768.16,15.951630218687873,0.27502858140596576
Alamos Torrontes,31632.47,9.626541998773758,0.16597514821187206
Alate Kosher Wine,7967.74,15.180635451505017,0.2617355452596473
Albatros Malbec Cahors,3196.8,9.99,0.17224167627875223
Albero Sparkling Wh Organic,5.79,5.79,0.09982775832372126
Albert I Noya Xarello Clsc,911.34,5.49,0.0946553356126476
Alberta Rye Dark Batch,5871.33,21.99,0.3791385847216978
Alberto Furque Malbec Mendoz,1379.08,14.99,0.2584487214633129
Albola Chianti,3025.4900000000002,12.025087719298245,0.20732945607316988
Albola Pinot Grigio,64481.99,11.150921010553246,0.1922575902812461
Alderbrook Pnt Nr RRV,21426.09,17.99,0.31017294857404926
Aldial Naia Rueda White,9153.2,13.414929178470256,0.23129228116721334
Alexana Pnt Nr Willamette,919.5999999999999,22.99,0.39637999375860994
Alexana Revana Vyd Pnt Nr,8047.110000000001,42.58712230215828,0.7342619953165139
Alexander Vly Vyd Cab Svgn,63030.82,16.236565934065933,0.2799412746240241
Alexander Vly Vyds Cab Svgn,99.9,9.99,0.17224167627875223
Alexander Vly Vyds Gewurz,5164.83,9.99,0.17224167627875223
Alexander Vly Vyds Merlot,6189.16,16.125135135135135,0.27802005064034824
Alexander Vly Vyds Sin Znfdl,557.74,26.323333333333334,0.4538513572149837
Alexander Vly Wicked Weekend,623.61,15.99,0.275690130500225
Alexanders Crown Cab Svgn,5389.26,72.71727272727273,1.2537482431396043
Alfred Gratien Champagne Bru,7568.39,47.142,0.8127945048181118
Alhambra Red Blend,158.89,14.615,0.25198319307447087
Alias Cab Svgn,912.17,10.99,0.18948308531566435
Alias Chard,582.47,10.99,0.18948308531566435
Alias Pnt Nr,21.98,10.99,0.18948308531566435
